subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 episode_remembered	 OnsetEnd
JLC	 encoding	 14	 6	 0	 110	 104	 artichoke	 1	 2	 7	 	 0	 0	 3.980966	 reduce	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3353.630595	 3402.418576	 3405.504919	 3409.491163	 	 	 	 	 	 	 
JLC	 encoding	 14	 7	 0	 111	 104	 snail	 14	 1	 1	 	 0	 0	 4.601169	 wipe	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3353.630595	 3410.585460	 3413.948615	 3418.555095	 	 	 	 	 	 	 
JLC	 encoding	 14	 8	 0	 112	 104	 gloves	 6	 1	 8	 	 0	 0	 3.440118	 fold	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3353.630595	 3419.403068	 3422.821576	 3426.267043	 	 	 	 	 	 	 
JLC	 retrieval	 14	 0	 1	 112	 105	 shark	 13	 2	 4	 cliff	 6	 1	 0.000000	 locate	 1.804988	 semantic_animated	 1.000000	 1.097348	 37	 0.972973	 	 	 	 	 3468.681616	 3472.432099	 3474.242458	 3477.747676	 3478.850379	 1.000000	 
JLC	 retrieval	 14	 0	 2	 112	 106	 giraffe	 7	 1	 3	 bedroom_dirty	 4	 4	 0.000000	 fall	 1.243951	 semantic_animated	 1.000000	 2.570129	 37	 0.972973	 	 	 	 	 3468.681616	 3480.073078	 3481.322353	 3484.834872	 3487.410250	 1.000000	 
JLC	 retrieval	 14	 0	 3	 112	 107	 hat	 7	 2	 8	 art_gallery	 1	 3	 0.000000	 grind	 1.124412	 semantic_animated	 3.000000	 1.255038	 37	 0.972973	 	 	 	 	 3468.681616	 3488.544516	 3489.674210	 3493.181802	 3494.442209	 1.000000	 
JLC	 retrieval	 14	 0	 4	 112	 108	 snail	 14	 1	 1	 sunset	 28	 1	 0.000000	 wipe	 1.252753	 perceptual	 1.000000	 1.850876	 37	 0.972973	 	 	 	 	 3468.681616	 3495.784117	 3497.042113	 3500.545869	 3502.402065	 1.000000	 
JLC	 retrieval	 14	 0	 5	 112	 109	 gloves	 6	 1	 8	 kitchen_1	 21	 4	 0.000000	 fold	 0.791604	 semantic_animated	 1.000000	 0.534588	 37	 0.972973	 	 	 	 	 3468.681616	 3504.117145	 3504.913999	 3508.422143	 3508.961971	 1.000000	 
JLC	 retrieval	 14	 0	 6	 112	 110	 sheep	 14	 1	 3	 prison	 27	 3	 0.000000	 drill	 1.900397	 perceptual	 1.000000	 1.984090	 37	 0.972973	 	 	 	 	 3468.681616	 3510.512274	 3512.417911	 3515.924505	 3517.913848	 1.000000	 
JLC	 retrieval	 14	 0	 7	 112	 111	 artichoke	 1	 2	 7	 pharmacy	 26	 3	 0.000000	 reduce	 2.914034	 semantic_animated	 1.000000	 1.827331	 37	 0.972973	 	 	 	 	 3468.681616	 3518.914508	 3521.833834	 3525.337209	 3527.169797	 1.000000	 
JLC	 retrieval	 14	 0	 8	 112	 112	 duck	 3	 1	 2	 malopolska	 16	 2	 0.000000	 splash	 0.744463	 perceptual	 1.000000	 2.144955	 37	 0.972973	 	 	 	 	 3468.681616	 3528.964000	 3529.713709	 3533.227432	 3535.377627	 1.000000	 
JLC	 encoding	 15	 1	 0	 113	 112	 coffee maker	 3	 2	 6	 	 0	 0	 3.870435	 punch	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3538.965792	 3597.898442	 3600.653111	 3604.528809	 	 	 	 	 	 	 
JLC	 encoding	 15	 2	 0	 114	 112	 printer	 12	 1	 6	 	 0	 0	 3.327596	 chop	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3538.965792	 3605.594644	 3608.307844	 3611.640748	 	 	 	 	 	 	 
JLC	 encoding	 15	 3	 0	 115	 112	 football sneaker	 4	 2	 8	 	 0	 0	 3.976487	 cover	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3538.965792	 3612.959552	 3616.114839	 3620.096606	 	 	 	 	 	 	 
JLC	 encoding	 15	 4	 0	 116	 112	 octopus	 8	 1	 4	 	 0	 0	 5.311357	 revolve	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3538.965792	 3621.749165	 3624.627840	 3629.944471	 	 	 	 	 	 	 
JLC	 encoding	 15	 5	 0	 117	 112	 blowfish	 1	 1	 4	 	 0	 0	 5.774626	 knock	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3538.965792	 3630.732124	 3634.220452	 3640.000388	 	 	 	 	 	 	 
JLC	 encoding	 15	 6	 0	 118	 112	 couliflower	 7	 2	 7	 	 0	 0	 5.177292	 twitch	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3538.965792	 3641.252866	 3644.297670	 3649.480286	 	 	 	 	 	 	 
JLC	 encoding	 15	 7	 0	 119	 112	 mantis	 11	 2	 1	 	 0	 0	 3.824724	 warm	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3538.965792	 3651.094755	 3654.250168	 3658.080119	 	 	 	 	 	 	 
JLC	 encoding	 15	 8	 0	 120	 112	 mantaray	 7	 1	 4	 	 0	 0	 4.087330	 wrap	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3538.965792	 3659.220097	 3662.043462	 3666.136055	 	 	 	 	 	 	 
JLC	 retrieval	 15	 0	 1	 120	 113	 printer	 12	 1	 6	 amsterdam	 2	 2	 0.000000	 chop	 3.888987	 perceptual	 1.000000	 1.339412	 36	 0.972222	 	 	 	 	 3709.965979	 3712.609248	 3716.503487	 3720.014734	 3721.359434	 1.000000	 
JLC	 retrieval	 15	 0	 2	 120	 114	 mantaray	 7	 1	 4	 savana	 25	 1	 0.000000	 wrap	 1.137436	 perceptual	 1.000000	 1.534156	 36	 0.972222	 	 	 	 	 3709.965979	 3722.824703	 3723.967445	 3727.475854	 3729.015252	 1.000000	 
JLC	 retrieval	 15	 0	 3	 120	 115	 blowfish	 1	 1	 4	 coffee_shop	 9	 3	 0.000000	 knock	 1.840113	 semantic_animated	 1.000000	 0.915211	 36	 0.972222	 	 	 	 	 3709.965979	 3730.105836	 3731.951347	 3735.462722	 3736.383224	 1.000000	 
JLC	 retrieval	 15	 0	 4	 120	 116	 coffee maker	 3	 2	 6	 french	 11	 2	 0.000000	 punch	 1.392856	 perceptual	 1.000000	 2.774598	 36	 0.972222	 	 	 	 	 3709.965979	 3738.065010	 3739.463148	 3742.979164	 3745.759123	 1.000000	 
JLC	 retrieval	 15	 0	 5	 120	 117	 mantis	 11	 2	 1	 Untitled	 1	 4	 0.000000	 warm	 0.957686	 semantic_animated	 1.000000	 0.958549	 36	 0.972222	 	 	 	 	 3709.965979	 3747.284069	 3748.247020	 3751.755145	 3752.719046	 1.000000	 
JLC	 retrieval	 15	 0	 6	 120	 118	 octopus	 8	 1	 4	 ronda_road	 22	 2	 0.000000	 revolve	 3.679201	 perceptual	 1.000000	 1.393164	 36	 0.972222	 	 	 	 	 3709.965979	 3753.914413	 3757.598968	 3761.112405	 3762.510864	 1.000000	 
JLC	 retrieval	 15	 0	 7	 120	 119	 football sneaker	 4	 2	 8	 beach	 2	 1	 0.000000	 cover	 1.533268	 perceptual	 1.000000	 3.608734	 36	 0.972222	 	 	 	 	 3709.965979	 3764.116265	 3765.654806	 3769.168699	 3772.782776	 1.000000	 
JLC	 retrieval	 15	 0	 8	 120	 120	 couliflower	 7	 2	 7	 desert	 7	 1	 0.000000	 twitch	 2.827657	 perceptual	 1.000000	 1.367821	 36	 0.972222	 	 	 	 	 3709.965979	 3774.165739	 3776.998735	 3780.505542	 3781.878601	 1.000000	 
JLC	 encoding	 16	 1	 0	 121	 120	 phone	 11	 1	 6	 	 0	 0	 2.069196	 polish	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3787.183624	 3789.572060	 3792.395984	 3794.470522	 	 	 	 	 	 	 
JLC	 encoding	 16	 2	 0	 122	 120	 calculator	 1	 2	 6	 	 0	 0	 4.134299	 dance	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3787.183624	 3795.621248	 3798.458789	 3802.598356	 	 	 	 	 	 	 
JLC	 encoding	 16	 3	 0	 123	 120	 pomegranate	 14	 2	 5	 	 0	 0	 4.130278	 balance	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3787.183624	 3804.121343	 3806.902677	 3811.038305	 	 	 	 	 	 	 
JLC	 encoding	 16	 4	 0	 124	 120	 aubergine	 3	 1	 7	 	 0	 0	 4.112452	 hold	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3787.183624	 3812.246294	 3815.000409	 3819.118190	 	 	 	 	 	 	 
JLC	 encoding	 16	 5	 0	 125	 120	 sport t-shirt	 15	 1	 8	 	 0	 0	 3.446786	 hammer	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3787.183624	 3819.928750	 3823.098028	 3826.550072	 	 	 	 	 	 	 
JLC	 encoding	 16	 6	 0	 126	 120	 crab	 2	 2	 4	 	 0	 0	 4.141817	 browse	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3787.183624	 3828.067959	 3831.458849	 3835.605997	 	 	 	 	 	 	 
JLC	 encoding	 16	 7	 0	 127	 120	 asparagus	 2	 1	 7	 	 0	 0	 4.381312	 catapult	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3787.183624	 3837.010087	 3839.667307	 3844.053869	 	 	 	 	 	 	 
JLC	 encoding	 16	 8	 0	 128	 120	 remote control	 14	 1	 6	 	 0	 0	 3.823492	 smash	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 3787.183624	 3844.775567	 3847.944985	 3851.773764	 	 	 	 	 	 	 
JLC	 retrieval	 16	 0	 1	 128	 121	 crab	 2	 2	 4	 woodsmill	 32	 2	 0.000000	 browse	 1.230879	 perceptual	 1.000000	 1.578924	 35	 1.000000	 	 	 	 	 3896.143951	 3901.112992	 3902.349174	 3905.860904	 3907.445068	 1.000000	 
JLC	 retrieval	 16	 0	 2	 128	 122	 remote control	 14	 1	 6	 retro_living	 29	 4	 0.000000	 smash	 0.955063	 semantic_animated	 1.000000	 1.835954	 35	 1.000000	 	 	 	 	 3896.143951	 3909.044707	 3910.005113	 3913.515768	 3915.357065	 1.000000	 
JLC	 retrieval	 16	 0	 3	 128	 123	 aubergine	 3	 1	 7	 storm	 26	 1	 0.000000	 hold	 1.418411	 semantic_animated	 1.000000	 0.770369	 35	 1.000000	 	 	 	 	 3896.143951	 3916.533254	 3917.956961	 3921.461230	 3922.236902	 1.000000	 
JLC	 retrieval	 16	 0	 4	 128	 124	 asparagus	 2	 1	 7	 casino	 5	 3	 0.000000	 catapult	 1.091077	 semantic_animated	 1.000000	 1.185592	 35	 1.000000	 	 	 	 	 3896.143951	 3923.980550	 3925.076851	 3928.589977	 3929.780795	 1.000000	 
JLC	 retrieval	 16	 0	 5	 128	 125	 calculator	 1	 2	 6	 kitchen_2	 22	 4	 0.000000	 dance	 1.570582	 perceptual	 0.000000	 1.778407	 35	 1.000000	 	 	 	 	 3896.143951	 3931.316887	 3932.892784	 3936.397030	 3938.180706	 1.000000	 
JLC	 retrieval	 16	 0	 6	 128	 126	 pomegranate	 14	 2	 5	 town_riff	 28	 2	 0.000000	 balance	 1.046809	 semantic_animated	 1.000000	 0.966713	 35	 1.000000	 	 	 	 	 3896.143951	 3939.760674	 3940.812711	 3944.328611	 3945.300604	 1.000000	 
JLC	 retrieval	 16	 0	 7	 128	 127	 sport t-shirt	 15	 1	 8	 lake_	 18	 1	 0.000000	 hammer	 4.754750	 semantic_animated	 1.000000	 3.106934	 35	 1.000000	 	 	 	 	 3896.143951	 3946.612586	 3951.372654	 3954.876365	 3957.988577	 1.000000	 
JLC	 retrieval	 16	 0	 8	 128	 128	 phone	 11	 1	 6	 swimming_pool	 31	 3	 0.000000	 polish	 4.221423	 perceptual	 1.000000	 2.147499	 35	 1.000000	 	 	 	 	 3896.143951	 3959.153673	 3963.380453	 3966.891518	 3969.044388	 1.000000	 
JLC	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 3971.729949
